amka_iatrou,amka_as8eni,kwdikos_farmakou,imerominia_enarxis,imerominia_lixis,dosologia,syxnotita,ID_nosileias
06126222477,31057446403,136970,2023-12-30,2024-01-02,2 δισκία,κάθε 8 ώρες,136
16040493179,03080887989,17403,2023-12-31,2024-01-02,1 δισκίο,προ ύπνου,137
16040493179,03080887989,81382,2023-12-31,2024-01-04,1 κάψουλα,μετά το φαγητό,137
15049291643,17084510025,95038,2024-01-02,2024-01-04,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),138
08119651767,18095314451,58121,2024-01-04,2024-01-06,2 δισκία,μία φορά το πρωί,139
18060326718,09025524525,73756,2024-01-04,,1 ενέσιμο αμπούλα,μετά το φαγητό,140
18060326718,09025524525,77500,2024-01-04,,1 ενέσιμο αμπούλα,μία φορά το πρωί,140
22115865680,06060868993,35761,2024-01-10,2024-01-18,1 ενέσιμο αμπούλα,μετά το φαγητό,141
29109569303,06116602025,73204,2024-01-13,2024-01-19,1 δισκίο,εφάπαξ,142
29109569303,06116602025,21262,2024-01-13,2024-01-18,1 δισκίο,εφάπαξ,142
29109569303,06116602025,36429,2024-01-13,2024-01-15,1 ενέσιμο αμπούλα,εφάπαξ,142
03057873936,04066869604,71896,2024-01-14,2024-01-17,2 δισκία,μία φορά το πρωί,143
03057873936,04066869604,93136,2024-01-14,2024-01-15,1 ενέσιμο αμπούλα,προ ύπνου,143
03057873936,04066869604,160820,2024-01-14,2024-01-18,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),143
31084428740,02045315571,35058,2024-01-16,2024-01-24,1 ενέσιμο αμπούλα,μία φορά το πρωί,144
31084428740,02045315571,46529,2024-01-16,2024-01-21,1 κάψουλα,προ ύπνου,144
21119438801,17024116047,61441,2024-01-18,2024-01-27,1 ενέσιμο αμπούλα,μετά το φαγητό,145
24100569128,01129226955,115921,2024-01-20,2024-01-22,15 ml,εφάπαξ,146
02087077516,31057446403,147160,2024-01-20,2024-01-27,2 δισκία,κάθε 8 ώρες,147
28120467810,04048854946,35130,2024-01-23,2024-01-24,1/2 δισκίο,εφάπαξ,148
06050738238,20108497934,95784,2024-01-25,2024-01-29,1 δισκίο,εφάπαξ,149
18020449145,16080609722,34511,2024-01-26,2024-01-27,1 δισκίο,μία φορά το πρωί,150
02030634060,19080401685,156876,2024-01-26,2024-01-29,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),151
02030634060,19080401685,119082,2024-01-26,2024-01-29,1 δισκίο,εφάπαξ,151
05038348846,01088695318,32000,2024-01-27,2024-01-30,2 δισκία,μία φορά το πρωί,152
05038348846,01088695318,108281,2024-01-27,2024-01-30,15 ml,προ ύπνου,152
22120477375,24096114298,12217,2024-01-28,2024-02-02,1 δισκίο,εφάπαξ,153
22120477375,24096114298,81084,2024-01-28,2024-02-01,1 κάψουλα,εφάπαξ,153
15089851983,09066024392,45393,2024-02-03,2024-02-04,1 κάψουλα,προ ύπνου,154
15089851983,09066024392,106415,2024-02-03,2024-02-04,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),154
01024610365,31108619515,151504,2024-02-07,2024-02-08,1/2 δισκίο,μία φορά το πρωί,155
01024610365,31108619515,40323,2024-02-07,2024-02-10,1/2 δισκίο,εφάπαξ,155
26067425558,02024157190,47315,2024-02-13,2024-02-14,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),156
26067425558,02024157190,88004,2024-02-13,2024-02-15,1 ενέσιμο αμπούλα,κάθε 8 ώρες,156
26067425558,02024157190,94091,2024-02-13,2024-02-15,15 ml,εφάπαξ,156
12016267995,08090361434,22223,2024-02-14,2024-02-25,2 δισκία,μία φορά το πρωί,157
12016267995,08090361434,126093,2024-02-14,2024-02-26,1/2 δισκίο,μετά το φαγητό,157
12016267995,08090361434,20549,2024-02-14,2024-02-20,2 δισκία,μετά το φαγητό,157
11087946135,26105808540,137484,2024-02-15,2024-02-16,1 κάψουλα,εφάπαξ,158
11087946135,26105808540,132027,2024-02-15,2024-02-16,15 ml,μία φορά το πρωί,158
11087946135,26105808540,88632,2024-02-15,2024-02-20,1 κάψουλα,κάθε 8 ώρες,158
02087077516,28077570409,14321,2024-02-18,2024-02-19,1 ενέσιμο αμπούλα,μία φορά το πρωί,159
02087077516,28077570409,140198,2024-02-18,2024-02-20,1/2 δισκίο,μετά το φαγητό,159
02078042045,06046575583,118304,2024-02-20,2024-02-23,15 ml,κάθε 12 ώρες (πρωί-βράδυ),160
02078042045,06046575583,157138,2024-02-20,2024-02-22,15 ml,προ ύπνου,160
02078042045,06046575583,4039,2024-02-20,2024-02-24,1 ενέσιμο αμπούλα,μία φορά το πρωί,160
02030634060,24104247444,160631,2024-02-24,2024-02-26,2 δισκία,μία φορά το πρωί,161
06019165174,03125045036,125986,2024-02-24,2024-02-27,1 ενέσιμο αμπούλα,προ ύπνου,162
06019165174,03125045036,128131,2024-02-24,2024-03-02,1/2 δισκίο,μία φορά το πρωί,162
06019165174,03125045036,93351,2024-02-24,2024-03-04,1 κάψουλα,εφάπαξ,162
11100467158,26026036012,21760,2024-03-04,2024-03-10,1 κάψουλα,εφάπαξ,163
11100467158,26026036012,158404,2024-03-04,2024-03-09,15 ml,κάθε 12 ώρες (πρωί-βράδυ),163
11100467158,26026036012,156772,2024-03-04,2024-03-06,1 ενέσιμο αμπούλα,προ ύπνου,163
22040585135,20057232485,23895,2024-03-07,2024-03-09,1 ενέσιμο αμπούλα,μετά το φαγητό,164
22040585135,20057232485,14391,2024-03-07,2024-03-17,1 κάψουλα,μετά το φαγητό,164
22040585135,20057232485,119545,2024-03-07,2024-03-12,2 δισκία,μετά το φαγητό,164
09128084347,20075682599,130866,2024-03-09,2024-03-10,2 δισκία,κάθε 8 ώρες,165
18114432106,26125596722,6780,2024-03-10,2024-03-13,15 ml,μία φορά το πρωί,166
18114432106,26125596722,50949,2024-03-10,2024-03-15,1 ενέσιμο αμπούλα,εφάπαξ,166
18114432106,26125596722,32865,2024-03-10,2024-03-15,15 ml,κάθε 8 ώρες,166
21110456039,24019614197,149886,2024-03-11,2024-03-15,1 κάψουλα,προ ύπνου,167
29049732701,24076008916,309,2024-03-11,2024-03-15,1 ενέσιμο αμπούλα,προ ύπνου,168
29049732701,24076008916,129398,2024-03-11,2024-03-18,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),168
29049732701,24076008916,113726,2024-03-11,2024-03-16,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),168
06019165174,31084192623,153614,2024-03-12,2024-03-14,1 ενέσιμο αμπούλα,προ ύπνου,169
06019165174,31084192623,101221,2024-03-12,2024-03-13,15 ml,κάθε 12 ώρες (πρωί-βράδυ),169
06019165174,31084192623,9829,2024-03-12,2024-03-14,2 δισκία,μετά το φαγητό,169
22040585135,02056408999,139117,2024-03-13,2024-03-18,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),170
22040585135,02056408999,154265,2024-03-13,2024-03-18,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),170
22040585135,02056408999,106883,2024-03-13,2024-03-15,2 δισκία,κάθε 8 ώρες,170
14129831939,07025648436,30888,2024-03-16,2024-03-20,15 ml,κάθε 12 ώρες (πρωί-βράδυ),171
14129831939,07025648436,61440,2024-03-16,2024-03-25,1/2 δισκίο,κάθε 8 ώρες,171
03057873936,21119250184,94024,2024-03-18,2024-03-20,2 δισκία,προ ύπνου,172
03057873936,21119250184,28784,2024-03-18,2024-03-20,1/2 δισκίο,μία φορά το πρωί,172
31084428740,08069088885,87786,2024-03-21,2024-03-22,1 ενέσιμο αμπούλα,εφάπαξ,173
31084428740,08069088885,28864,2024-03-21,2024-03-24,1 δισκίο,κάθε 8 ώρες,173
06050738238,20049280002,146159,2024-03-22,,1 ενέσιμο αμπούλα,προ ύπνου,174
06050738238,20049280002,106263,2024-03-22,,1/2 δισκίο,μία φορά το πρωί,174
06050738238,20049280002,22536,2024-03-22,,2 δισκία,κάθε 8 ώρες,174
22048608378,02080605060,41077,2024-03-22,2024-03-23,2 δισκία,κάθε 12 ώρες (πρωί-βράδυ),175
10089737527,14038546502,36747,2024-03-23,,2 δισκία,μετά το φαγητό,176
10089737527,14038546502,72230,2024-03-23,,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),176
10089737527,14038546502,80726,2024-03-23,,1 ενέσιμο αμπούλα,προ ύπνου,176
15049291643,22047993944,62710,2024-03-28,2024-04-01,1 δισκίο,εφάπαξ,177
18118519593,23065187182,62962,2024-03-31,2024-04-04,1 κάψουλα,μία φορά το πρωί,178
18118519593,23065187182,51364,2024-03-31,2024-04-03,1 ενέσιμο αμπούλα,μετά το φαγητό,178
18118519593,23065187182,30700,2024-03-31,2024-04-01,1 ενέσιμο αμπούλα,εφάπαξ,178
04010443316,10049749838,100885,2024-04-01,2024-04-05,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),179
04010443316,10049749838,101219,2024-04-01,2024-04-06,1/2 δισκίο,εφάπαξ,179
04010443316,10049749838,96010,2024-04-01,2024-04-05,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),179
27099728378,23119130856,18885,2024-04-04,2024-04-14,1 κάψουλα,μετά το φαγητό,180
09128084347,15116913619,27706,2024-04-05,2024-04-06,1 ενέσιμο αμπούλα,εφάπαξ,181
19075521849,25104926265,77223,2024-04-05,2024-04-14,15 ml,κάθε 8 ώρες,182
19075521849,25104926265,127999,2024-04-05,2024-04-08,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),182
22040585135,07025661146,39184,2024-04-08,2024-04-13,1 ενέσιμο αμπούλα,μία φορά το πρωί,183
22040585135,07025661146,9405,2024-04-08,2024-04-16,2 δισκία,μία φορά το πρωί,183
31084428740,22119620547,25438,2024-04-08,2024-04-11,1 δισκίο,μία φορά το πρωί,184
31084428740,22119620547,45718,2024-04-08,2024-04-09,1 ενέσιμο αμπούλα,μία φορά το πρωί,184
31084428740,22119620547,40073,2024-04-08,2024-04-09,15 ml,μία φορά το πρωί,184
22040585135,24028052131,129670,2024-04-10,2024-04-12,1 δισκίο,μία φορά το πρωί,185
15088743388,14116282450,60432,2024-04-11,2024-04-13,1 κάψουλα,εφάπαξ,186
21119438801,30056253919,103789,2024-04-18,2024-04-20,1 ενέσιμο αμπούλα,μία φορά το πρωί,187
21119438801,30056253919,13085,2024-04-18,2024-04-19,1 ενέσιμο αμπούλα,μετά το φαγητό,187
21119438801,30056253919,142967,2024-04-18,2024-04-19,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),187
14024366361,18076242086,61606,2024-04-20,2024-04-22,1/2 δισκίο,προ ύπνου,188
22048608378,02080605060,71942,2024-04-21,2024-04-23,2 δισκία,μία φορά το πρωί,189
22048608378,02080605060,16956,2024-04-21,2024-04-23,1 ενέσιμο αμπούλα,προ ύπνου,189
22048608378,02080605060,152671,2024-04-21,2024-04-22,1/2 δισκίο,μία φορά το πρωί,189
31084428740,29048725629,133299,2024-04-21,2024-04-23,2 δισκία,μία φορά το πρωί,190
31084428740,29048725629,33021,2024-04-21,2024-04-23,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),190
31084428740,29048725629,26387,2024-04-21,2024-04-25,1/2 δισκίο,κάθε 8 ώρες,190
18118519593,22065247880,111697,2024-04-21,2024-04-26,1/2 δισκίο,προ ύπνου,191
18118519593,22065247880,72499,2024-04-21,2024-05-02,1 ενέσιμο αμπούλα,προ ύπνου,191
03037593592,13070372071,15902,2024-04-23,2024-04-29,1 ενέσιμο αμπούλα,μετά το φαγητό,192
26067425558,06046575583,35029,2024-04-26,2024-04-27,1 ενέσιμο αμπούλα,κάθε 8 ώρες,193
16040493179,18095314451,161621,2024-04-29,2024-05-05,2 δισκία,εφάπαξ,194
03049296161,01088695318,50814,2024-05-03,2024-05-07,1 κάψουλα,μία φορά το πρωί,195
22040585135,24026275714,23056,2024-05-04,2024-05-07,1 δισκίο,μετά το φαγητό,196
22040585135,24026275714,36869,2024-05-04,2024-05-06,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),196
06117882147,25096574054,104798,2024-05-05,2024-05-08,1 δισκίο,προ ύπνου,197
10089737527,16074369547,158482,2024-05-05,2024-05-16,1 κάψουλα,προ ύπνου,198
10089737527,16074369547,50500,2024-05-05,2024-05-17,1/2 δισκίο,εφάπαξ,198
10089737527,16074369547,5657,2024-05-05,2024-05-13,1 δισκίο,μετά το φαγητό,198
19089017616,17084510025,79049,2024-05-06,2024-05-08,1 δισκίο,κάθε 8 ώρες,199
19089017616,17084510025,45888,2024-05-06,2024-05-13,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),199
19089017616,17084510025,118579,2024-05-06,2024-05-11,1 ενέσιμο αμπούλα,μία φορά το πρωί,199
05038348846,04048854946,148696,2024-05-17,2024-05-18,2 δισκία,κάθε 12 ώρες (πρωί-βράδυ),200
05038348846,04048854946,114317,2024-05-17,2024-05-20,1/2 δισκίο,προ ύπνου,200
05038348846,04048854946,17106,2024-05-17,2024-05-18,1 δισκίο,μετά το φαγητό,200
19110834569,22119620547,50123,2024-05-24,2024-05-26,1 ενέσιμο αμπούλα,εφάπαξ,201
19110834569,22119620547,70551,2024-05-24,2024-05-26,1/2 δισκίο,μετά το φαγητό,201
06019165174,04027802012,157340,2024-05-26,2024-06-06,2 δισκία,κάθε 8 ώρες,202
06019165174,04027802012,69439,2024-05-26,2024-06-04,1/2 δισκίο,μία φορά το πρωί,202
06019165174,04027802012,145533,2024-05-26,2024-06-02,1 ενέσιμο αμπούλα,κάθε 8 ώρες,202
16068107499,27088459709,109602,2024-05-29,2024-06-02,15 ml,εφάπαξ,203
16068107499,27088459709,147294,2024-05-29,2024-06-04,1 ενέσιμο αμπούλα,προ ύπνου,203
16068107499,27088459709,893,2024-05-29,2024-05-31,1 δισκίο,προ ύπνου,203
21119438801,20129813159,113362,2024-05-30,2024-06-01,1/2 δισκίο,κάθε 8 ώρες,204
21119438801,20129813159,149691,2024-05-30,2024-06-01,15 ml,κάθε 12 ώρες (πρωί-βράδυ),204
21119438801,20129813159,56669,2024-05-30,2024-06-02,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),204
24088546021,20057232485,129158,2024-06-01,2024-06-05,15 ml,μία φορά το πρωί,205
24088546021,20057232485,55331,2024-06-01,2024-06-08,1 δισκίο,μετά το φαγητό,205
24088546021,24019614197,84591,2024-06-02,2024-06-05,2 δισκία,κάθε 8 ώρες,206
24088546021,24019614197,47406,2024-06-02,2024-06-03,2 δισκία,μία φορά το πρωί,206
20039794570,22035062029,13151,2024-06-03,2024-06-14,1/2 δισκίο,εφάπαξ,207
20039794570,22035062029,154552,2024-06-03,2024-06-06,1 δισκίο,κάθε 8 ώρες,207
26099895344,26105808540,102087,2024-06-04,2024-06-10,1 κάψουλα,προ ύπνου,208
26099895344,26105808540,152096,2024-06-04,2024-06-05,1 κάψουλα,εφάπαξ,208
26099895344,26105808540,96943,2024-06-04,2024-06-07,15 ml,μετά το φαγητό,208
16118595442,14055158747,76641,2024-06-04,2024-06-06,15 ml,κάθε 12 ώρες (πρωί-βράδυ),209
28026692058,10088308059,114692,2024-06-14,2024-06-16,2 δισκία,προ ύπνου,210
18020449145,27088459709,47402,2024-06-15,2024-06-21,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),211
18020449145,27088459709,76112,2024-06-15,2024-06-22,15 ml,προ ύπνου,211
06126222477,22065247880,78338,2024-06-19,2024-06-21,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),212
06126222477,22065247880,39856,2024-06-19,2024-06-20,2 δισκία,εφάπαξ,212
07044341149,18095314451,137270,2024-06-19,2024-06-20,1 ενέσιμο αμπούλα,κάθε 8 ώρες,213
11100467158,07096944665,59701,2024-06-21,2024-07-01,2 δισκία,εφάπαξ,214
22040585135,14024432211,99444,2024-06-21,2024-06-23,1 κάψουλα,κάθε 8 ώρες,215
22040585135,14024432211,159175,2024-06-21,2024-06-22,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),215
22040585135,14024432211,116183,2024-06-21,2024-06-24,15 ml,προ ύπνου,215
17019537542,29078056776,132847,2024-06-23,2024-06-25,15 ml,εφάπαξ,216
17019537542,29078056776,102582,2024-06-23,2024-06-24,15 ml,κάθε 12 ώρες (πρωί-βράδυ),216
15089851983,17086486097,32871,2024-06-24,2024-06-27,1 ενέσιμο αμπούλα,προ ύπνου,217
21110456039,16080609722,103908,2024-06-27,2024-06-29,15 ml,κάθε 12 ώρες (πρωί-βράδυ),218
21110456039,16080609722,44959,2024-06-27,2024-07-01,1 ενέσιμο αμπούλα,προ ύπνου,218
02087077516,11050658021,63398,2024-07-01,2024-07-02,1 δισκίο,μετά το φαγητό,219
04010443316,21088351440,76142,2024-07-01,2024-07-02,1 δισκίο,προ ύπνου,220
18050675294,02056408999,127581,2024-07-04,2024-07-07,1 ενέσιμο αμπούλα,μετά το φαγητό,221
18118519593,20057232485,69420,2024-07-05,2024-07-08,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),222
18118519593,20057232485,4670,2024-07-05,2024-07-06,15 ml,προ ύπνου,222
18118519593,20057232485,574,2024-07-05,2024-07-06,15 ml,μετά το φαγητό,222
09050064807,23055868978,133072,2024-07-08,2024-07-10,2 δισκία,κάθε 12 ώρες (πρωί-βράδυ),223
09050064807,23055868978,141033,2024-07-08,2024-07-10,15 ml,μία φορά το πρωί,223
18118519593,20129813159,147602,2024-07-10,2024-07-16,15 ml,εφάπαξ,224
18118519593,20129813159,54068,2024-07-10,2024-07-13,1 ενέσιμο αμπούλα,κάθε 8 ώρες,224
03057873936,12045364041,3576,2024-07-12,2024-07-14,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),225
03057873936,12045364041,20268,2024-07-12,2024-07-14,1 κάψουλα,κάθε 8 ώρες,225
24100569128,23028814627,67873,2024-07-14,2024-07-20,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),226
24100569128,23028814627,105111,2024-07-14,2024-07-15,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),226
24100569128,23028814627,18926,2024-07-14,2024-07-19,15 ml,προ ύπνου,226
03057873936,10127699608,9333,2024-07-14,2024-07-18,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),227
03057873936,10127699608,150232,2024-07-14,2024-07-18,1 ενέσιμο αμπούλα,μετά το φαγητό,227
19110834569,22070852133,110786,2024-07-15,2024-07-23,1 ενέσιμο αμπούλα,εφάπαξ,228
19110834569,22070852133,107854,2024-07-15,2024-07-25,1/2 δισκίο,μία φορά το πρωί,228
16100868799,30129389723,73892,2024-07-17,2024-07-20,1 ενέσιμο αμπούλα,μετά το φαγητό,229
15049291643,29048725629,160046,2024-07-20,2024-07-23,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),230
15049291643,29048725629,96299,2024-07-20,2024-07-23,1 δισκίο,προ ύπνου,230
05038348846,24028052131,151564,2024-07-20,2024-07-23,1 ενέσιμο αμπούλα,προ ύπνου,231
05038348846,24028052131,160750,2024-07-20,2024-07-22,1 δισκίο,εφάπαξ,231
10094598570,26088900975,151231,2024-07-22,2024-07-23,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),232
13119759342,03014619314,42526,2024-07-23,2024-07-25,2 δισκία,μία φορά το πρωί,233
13119759342,03014619314,110311,2024-07-23,2024-07-25,15 ml,μετά το φαγητό,233
18020449145,30098579446,14647,2024-08-05,2024-08-09,2 δισκία,μία φορά το πρωί,234
18020449145,25104926265,120617,2024-08-06,2024-08-10,1/2 δισκίο,εφάπαξ,235
16040493179,20057771483,51232,2024-08-08,2024-08-15,2 δισκία,μετά το φαγητό,236
16040493179,20057771483,150001,2024-08-08,2024-08-09,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),236
26099895344,25124524763,18615,2024-08-09,2024-08-11,2 δισκία,μία φορά το πρωί,237
26099895344,25124524763,110161,2024-08-09,2024-08-10,1/2 δισκίο,κάθε 8 ώρες,237
26099895344,25124524763,76921,2024-08-09,2024-08-11,1 ενέσιμο αμπούλα,προ ύπνου,237
06126222477,14116282450,7258,2024-08-10,2024-08-15,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),238
06126222477,14116282450,92880,2024-08-10,2024-08-14,1 κάψουλα,μετά το φαγητό,238
06126222477,14116282450,148859,2024-08-10,2024-08-14,1 δισκίο,προ ύπνου,238
18118519593,07094810040,90578,2024-08-10,2024-08-20,2 δισκία,προ ύπνου,239
18118519593,07094810040,16428,2024-08-10,2024-08-18,1 δισκίο,εφάπαξ,239
19089017616,14055158747,93852,2024-08-11,2024-08-12,1 δισκίο,κάθε 8 ώρες,240
19089017616,14055158747,130919,2024-08-11,2024-08-13,2 δισκία,προ ύπνου,240
07034474162,03087449368,22354,2024-08-12,2024-08-14,2 δισκία,προ ύπνου,241
07034474162,03087449368,21102,2024-08-12,2024-08-15,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),241
07034474162,03087449368,20363,2024-08-12,2024-08-13,1 κάψουλα,κάθε 8 ώρες,241
13119759342,12045364041,32283,2024-08-24,2024-08-27,15 ml,εφάπαξ,242
13119759342,12045364041,8723,2024-08-24,2024-09-05,1 δισκίο,μία φορά το πρωί,242
23056691943,27087797722,35765,2024-08-25,2024-08-30,15 ml,κάθε 12 ώρες (πρωί-βράδυ),243
23056691943,27087797722,45803,2024-08-25,2024-08-29,1 κάψουλα,κάθε 8 ώρες,243
23056691943,27087797722,804,2024-08-25,2024-08-26,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),243
01024610365,13034773606,31360,2024-08-29,2024-09-04,15 ml,κάθε 8 ώρες,244
06050738238,26050897250,122656,2024-09-01,2024-09-02,2 δισκία,κάθε 12 ώρες (πρωί-βράδυ),245
06050738238,26050897250,79028,2024-09-01,2024-09-05,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),245
19029051436,20037111704,49688,2024-09-04,2024-09-06,1 δισκίο,μετά το φαγητό,246
19029051436,20037111704,101258,2024-09-04,2024-09-12,1 ενέσιμο αμπούλα,κάθε 8 ώρες,246
21119438801,08118005072,101160,2024-09-05,2024-09-08,1 ενέσιμο αμπούλα,προ ύπνου,247
24024429583,27087797722,157206,2024-09-08,2024-09-09,1 δισκίο,προ ύπνου,248
24024429583,27087797722,92471,2024-09-08,2024-09-09,2 δισκία,κάθε 8 ώρες,248
24024429583,27087797722,128733,2024-09-08,2024-09-09,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),248
29049732701,03085815082,104945,2024-09-14,2024-09-20,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),249
18060326718,05098106243,105065,2024-09-18,2024-09-23,1 ενέσιμο αμπούλα,μία φορά το πρωί,250
19075521849,22056004139,65687,2024-09-18,2024-09-25,2 δισκία,προ ύπνου,251
19075521849,22056004139,33018,2024-09-18,2024-09-23,1 κάψουλα,μία φορά το πρωί,251
19075521849,22056004139,129647,2024-09-18,2024-09-24,1 δισκίο,εφάπαξ,251
22018235970,16099945058,51840,2024-09-21,2024-09-27,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),252
06126222477,21088351440,75592,2024-09-24,2024-09-27,2 δισκία,προ ύπνου,253
06126222477,21088351440,132458,2024-09-24,2024-09-25,15 ml,εφάπαξ,253
06126222477,21088351440,138077,2024-09-24,2024-09-26,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),253
17019537542,20037111704,56598,2024-09-24,2024-09-29,1 δισκίο,εφάπαξ,254
08119651767,10088308059,67738,2024-09-29,2024-10-02,1 ενέσιμο αμπούλα,εφάπαξ,255
08119651767,10088308059,28110,2024-09-29,2024-09-30,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),255
08119651767,10088308059,54102,2024-09-29,2024-10-02,1 ενέσιμο αμπούλα,κάθε 8 ώρες,255
05038348846,10049749838,18839,2024-10-03,2024-10-09,1 ενέσιμο αμπούλα,μετά το φαγητό,256
02078042045,18066087869,38496,2024-10-05,2024-10-14,1/2 δισκίο,μετά το φαγητό,257
02078042045,18066087869,2114,2024-10-05,2024-10-08,1 δισκίο,μετά το φαγητό,257
21017437016,31108619515,104857,2024-10-06,2024-10-11,1 κάψουλα,προ ύπνου,258
21017437016,31108619515,126909,2024-10-06,2024-10-15,1/2 δισκίο,μετά το φαγητό,258
28120467810,23035977126,161527,2024-10-07,2024-10-08,1 ενέσιμο αμπούλα,μία φορά το πρωί,259
24088546021,06024508252,70915,2024-10-07,2024-10-09,1 κάψουλα,εφάπαξ,260
03056595064,18068612601,71612,2024-10-08,2024-10-11,1 δισκίο,κάθε 8 ώρες,261
22120477375,29049156103,105008,2024-10-09,,15 ml,εφάπαξ,262
22120477375,29049156103,101363,2024-10-09,,15 ml,προ ύπνου,262
22120477375,29049156103,107514,2024-10-09,,15 ml,μία φορά το πρωί,262
15089851983,25114766832,128419,2024-10-12,2024-10-15,2 δισκία,μετά το φαγητό,263
15089851983,25114766832,6076,2024-10-12,2024-10-15,1 κάψουλα,κάθε 8 ώρες,263
15089851983,25114766832,21946,2024-10-12,2024-10-13,1 κάψουλα,κάθε 8 ώρες,263
22040585135,20049280002,58814,2024-10-14,2024-10-22,2 δισκία,μία φορά το πρωί,264
22040585135,20049280002,9184,2024-10-14,2024-10-15,1/2 δισκίο,προ ύπνου,264
22040585135,20049280002,94920,2024-10-14,2024-10-21,1 κάψουλα,μετά το φαγητό,264
21119438801,05076151023,131521,2024-10-15,2024-10-17,15 ml,μία φορά το πρωί,265
07044341149,22065247880,103435,2024-10-16,2024-10-26,1 ενέσιμο αμπούλα,εφάπαξ,266
07044341149,22065247880,74074,2024-10-16,2024-10-28,2 δισκία,μετά το φαγητό,266
20039794570,27100139422,113672,2024-10-23,,1 ενέσιμο αμπούλα,κάθε 8 ώρες,267
20039794570,27100139422,130433,2024-10-23,,1 κάψουλα,κάθε 8 ώρες,267
20039794570,27100139422,83418,2024-10-23,,1 κάψουλα,κάθε 8 ώρες,267
03056595064,26118866522,36107,2024-10-24,,1 κάψουλα,εφάπαξ,268
23026866049,30088959779,139571,2024-10-26,2024-10-27,1 κάψουλα,μία φορά το πρωί,269
23026866049,30088959779,88221,2024-10-26,2024-10-29,1/2 δισκίο,προ ύπνου,269
23026866049,30088959779,38462,2024-10-26,2024-10-30,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),269
19029051436,20049280002,92953,2024-10-27,,1 κάψουλα,προ ύπνου,270
19029051436,20049280002,107422,2024-10-27,,1 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),270
19029051436,20049280002,111472,2024-10-27,,1 ενέσιμο αμπούλα,προ ύπνου,270
19075521849,17024116047,29290,2024-10-31,2024-11-05,1 κάψουλα,κάθε 12 ώρες (πρωί-βράδυ),271
19075521849,17024116047,97629,2024-10-31,2024-11-02,15 ml,κάθε 8 ώρες,271
19075521849,17024116047,121331,2024-10-31,2024-11-06,15 ml,κάθε 12 ώρες (πρωί-βράδυ),271
04025648413,23055868978,112420,2024-11-03,2024-11-05,1 δισκίο,προ ύπνου,272
04025648413,23055868978,58986,2024-11-03,2024-11-09,2 δισκία,κάθε 8 ώρες,272
04025648413,23055868978,114564,2024-11-03,2024-11-07,1/2 δισκίο,κάθε 12 ώρες (πρωί-βράδυ),272
02030634060,19025178439,159506,2024-11-07,2024-11-12,1 ενέσιμο αμπούλα,κάθε 12 ώρες (πρωί-βράδυ),273
23026866049,28026488250,73944,2024-11-07,2024-11-10,2 δισκία,μετά το φαγητό,274
