ID_nosileias,AMKA_astheni,ID_klinis,ID_tmhmatos,imerominia_eisagwgis,imerominia_exodou,diagnosis_eisagwgis,diagnosis_exodou,AMKA_iatrou
273,19025178439,201,14,2024-11-07 08:41:06,2024-11-14 08:41:06,R25.0,R25.0,02030634060
274,28026488250,77,5,2024-11-07 11:11:17,2024-11-18 11:11:17,O46.8,O46.8,23026866049
275,20050616601,89,6,2024-11-07 14:52:19,2024-11-14 14:52:19,S02.5,S86.8,08119651767
276,31057446403,191,13,2024-11-09 08:59:06,2024-11-21 08:59:06,K66.9,K66.9,06126222477
277,18068612601,78,5,2024-11-10 01:32:41,2024-11-15 01:32:41,C04.8,C04.8,19029051436
278,27018846643,194,13,2024-11-11 08:39:00,2024-11-16 08:39:00,J67.3,J67.3,13060666813
279,28087700496,102,7,2024-11-17 03:14:47,2024-11-26 03:14:47,F92.0,F92.0,16068107499
280,10088308059,186,13,2024-11-18 10:41:01,2024-11-21 10:41:01,Z09,Z09,13119759342
281,22119620547,220,15,2024-11-23 22:49:57,2024-11-26 22:49:57,Q75,Q75,17075032006
282,31108619515,166,12,2024-11-28 18:33:47,2024-12-04 18:33:47,Z48.9,Z48.9,03056595064
283,20050616601,138,9,2024-12-02 16:36:50,2024-12-09 16:36:50,M15.0,M15.0,15089851983
284,24104247444,20,1,2024-12-05 21:15:22,2024-12-15 21:15:22,B45,B45,11087946135
285,13076696064,172,12,2024-12-12 03:20:18,2024-12-16 03:20:18,Y50.9,L57.9,16068589382
286,21080066006,135,8,2024-12-13 08:33:20,2024-12-22 08:33:20,Z93.5,A77.1,01024610365
287,23035977126,123,8,2024-12-19 02:30:42,2024-12-26 02:30:42,R26.0,R26.0,01090729354
288,28055492211,1,1,2024-12-19 16:20:15,2024-12-24 16:20:15,V19.4,V19.4,01024610365
289,24096114298,108,7,2024-12-19 20:45:03,2024-12-29 20:45:03,H50.0,X88,21017437016
290,21088351440,100,6,2024-12-24 10:18:22,2025-01-05 10:18:22,T26.7,T26.7,03056595064
291,17084510025,181,13,2024-12-29 04:54:02,2025-01-07 04:54:02,K45.1,K45.1,02078042045
292,03080887989,65,5,2025-01-10 09:58:59,2025-01-22 09:58:59,T13.0,T13.0,19029051436
293,18095314451,160,11,2025-01-10 19:59:25,2025-01-14 19:59:25,O74.3,O74.3,03049296161
294,13070372071,21,1,2025-01-26 15:15:02,2025-02-07 15:15:02,C41.2,C41.2,22040585135
295,02045315571,169,12,2025-01-28 06:19:29,2025-02-08 06:19:29,Y36.5,Y36.5,27099728378
296,19117605737,167,12,2025-01-30 20:42:30,2025-02-01 20:42:30,R25.3,R25.3,03049296161
297,25114766832,139,9,2025-02-01 08:31:37,2025-02-08 08:31:37,M70.7,M70.7,06126222477
298,25108236524,110,7,2025-02-02 23:50:21,2025-02-08 23:50:21,T47.8,G36,15124501431
299,21088351440,206,14,2025-02-04 03:36:13,2025-02-10 03:36:13,A67.2,A67.2,09066167650
300,23106760849,73,5,2025-02-08 08:35:41,2025-02-13 08:35:41,D27,P78.9,04025648413
301,28085673440,47,3,2025-02-17 17:18:47,2025-02-27 17:18:47,P71.0,S39.0,07044341149
302,01027315996,77,5,2025-02-20 01:54:01,2025-02-24 01:54:01,B00.9,B00.9,28026692058
303,03087449368,46,3,2025-02-23 06:06:28,2025-02-25 06:06:28,I87.9,I87.9,17075032006
304,03080887989,63,5,2025-02-23 15:50:47,2025-03-04 15:50:47,M86.8,M86.8,08119651767
305,30056253919,141,9,2025-02-27 04:53:47,2025-03-03 04:53:47,F34.1,F34.1,29049732701
306,14038546502,191,13,2025-02-27 20:19:00,2025-03-08 20:19:00,A15,A15,11087946135
307,16099945058,162,12,2025-03-03 05:11:18,2025-03-10 05:11:18,Z89.4,Z89.4,13060666813
308,06060868993,195,13,2025-03-05 01:25:34,2025-03-14 01:25:34,C65,C65,09066167650
309,23076302310,8,1,2025-03-09 08:27:17,2025-03-12 08:27:17,G91.0,G91.0,22115865680
310,13070372071,111,7,2025-03-14 08:38:40,2025-03-21 08:38:40,H42.0*,B38.2,15124501431
311,11108472772,161,12,2025-03-14 10:02:04,2025-03-18 10:02:04,B33,B33,21119438801
312,22047993944,14,1,2025-03-16 03:58:58,2025-03-24 03:58:58,J17.0*,J17.0*,13119759342
313,08039585346,92,6,2025-03-18 19:15:33,2025-03-21 19:15:33,E50.3,E50.3,22120477375
314,14024432211,17,1,2025-03-19 01:16:36,2025-03-27 01:16:36,L74.0,L74.0,10089737527
315,27018846643,187,13,2025-03-20 18:06:52,2025-03-31 18:06:52,K41.0,K41.0,16118595442
316,27028422314,211,15,2025-03-26 16:51:02,2025-04-06 16:51:02,E01.1,E01.1,28026692058
317,27087797722,84,5,2025-03-28 10:24:33,2025-03-30 10:24:33,K14.9,K14.9,23056691943
318,30069682579,18,1,2025-03-31 15:22:17,2025-04-08 15:22:17,P29.3,P29.3,23026866049
319,17084510025,59,5,2025-04-01 10:01:42,2025-04-13 10:01:42,I24,I24,17075032006
320,14055158747,142,9,2025-04-04 07:07:37,2025-04-07 07:07:37,D28,D28,05068650481
321,12059650695,66,5,2025-04-04 18:25:41,2025-04-10 18:25:41,C53.9,C53.9,11087946135
322,09087148284,13,1,2025-04-09 09:57:29,2025-04-14 09:57:29,N98.2,N98.2,16118595442
323,25109186486,56,5,2025-04-11 13:02:27,2025-04-21 13:02:27,M79.0,M79.0,02030634060
324,16099945058,155,11,2025-04-12 01:36:06,2025-04-20 01:36:06,S45.1,S45.1,29109569303
325,11108472772,4,1,2025-04-12 16:32:26,2025-04-14 16:32:26,Q21.2,Q21.2,15089851983
326,19080401685,99,6,2025-04-15 11:51:20,2025-04-22 11:51:20,F00.2*,S23,02030634060
327,02024157190,79,5,2025-04-15 16:42:41,2025-04-25 16:42:41,Z89,Z89,23056691943
328,11036301026,217,15,2025-04-15 20:51:34,2025-04-21 20:51:34,V97.1,V97.1,06019165174
329,17089610796,213,15,2025-04-19 15:47:55,2025-04-23 15:47:55,N82.2,N82.2,11087946135
330,25096574054,158,11,2025-04-24 03:08:22,2025-05-01 03:08:22,S72.4,I61.0,07109876453
331,26118866522,156,11,2025-04-29 03:29:40,2025-05-02 03:29:40,Q62.1,Q62.1,18020449145
332,26050897250,54,3,2025-04-29 13:19:20,2025-05-07 13:19:20,D70,D70,16068589382
333,24026275714,52,3,2025-04-30 07:50:35,2025-05-12 07:50:35,R30.1,R30.1,09045928947
334,14074225756,162,12,2025-05-05 11:43:39,2025-05-09 11:43:39,E78,E78,21017437016
335,28110356536,181,13,2025-05-06 21:09:54,2025-05-14 21:09:54,M84.9,M84.9,29049732701
336,16014472825,120,7,2025-05-07 16:22:00,2025-05-09 16:22:00,O69.4,O69.4,08088799158
337,30088959779,171,12,2025-05-09 10:40:20,2025-05-15 10:40:20,S05.0,S05.0,15124501431
338,15116913619,84,5,2025-05-10 06:28:08,2025-05-16 06:28:08,D41.0,D41.0,01090729354
339,29089535168,153,11,2025-05-11 15:38:57,2025-05-19 15:38:57,S94.8,S94.8,19089017616
340,03080887989,51,3,2025-05-12 13:50:00,2025-05-24 13:50:00,S15.9,S15.9,15088743388
341,16014472825,176,12,2025-05-15 11:05:14,2025-05-27 11:05:14,S66.9,S66.9,09045928947
342,09026562599,87,6,2025-05-17 20:32:32,2025-05-28 20:32:32,C76.2,C76.2,07044341149
343,08046122018,151,10,2025-05-19 12:19:14,2025-05-24 12:19:14,C70.9,C70.9,16068589382
344,20075682599,5,1,2025-05-23 00:11:23,2025-05-31 00:11:23,C46.2,C46.2,09050064807
345,28125858451,148,10,2025-05-29 23:18:38,2025-06-03 23:18:38,Q03.1,Q03.1,22115865680
346,25124524763,136,9,2025-06-04 23:02:39,2025-06-07 23:02:39,K80.4,K80.4,23026866049
347,19080401685,98,6,2025-06-06 04:49:19,2025-06-09 04:49:19,F45.3,F45.3,11087946135
348,03080887989,56,5,2025-06-06 11:02:12,2025-06-16 11:02:12,V89.9,V89.9,24100569128
349,20057771483,125,8,2025-06-13 17:42:42,2025-06-15 17:42:42,V82.9,V82.9,17078627586
350,06060868993,119,7,2025-06-18 22:25:18,2025-06-29 22:25:18,W55,W55,18050675294
351,02045315571,55,3,2025-06-19 06:28:58,2025-06-26 06:28:58,M54.1,H51.8,06126222477
352,14024432211,137,9,2025-06-20 20:10:05,2025-06-24 20:10:05,A82.9,A82.9,23056691943
353,24104247444,20,1,2025-06-21 14:35:49,2025-06-28 14:35:49,S89.9,S89.9,03057873936
354,25110455645,218,15,2025-06-23 04:09:58,2025-07-05 04:09:58,F98.2,F98.2,02030634060
355,01078093778,125,8,2025-06-23 13:48:40,2025-07-03 13:48:40,H90.0,H90.0,07100156298
356,18068612601,99,6,2025-06-26 03:17:26,2025-07-04 03:17:26,H17.8,H17.8,15124501431
357,27087797722,178,12,2025-06-27 22:47:48,2025-06-30 22:47:48,Q78.9,Q78.9,09128084347
358,03080887989,73,5,2025-06-28 05:56:17,2025-07-04 05:56:17,S25.3,S25.3,15049291643
359,25110455645,174,12,2025-06-29 20:18:54,2025-07-11 20:18:54,Y42.4,Y42.4,10089737527
360,24054813176,77,5,2025-06-30 21:20:18,2025-07-04 21:20:18,S24.1,S24.1,06050738238
361,28035274397,184,13,2025-07-02 23:31:23,2025-07-09 23:31:23,R27,R27,17019537542
362,27060840942,64,5,2025-07-03 05:54:43,2025-07-14 05:54:43,H74.9,H74.9,14129831939
363,29048725629,125,8,2025-07-05 18:29:46,2025-07-08 18:29:46,E20.8,E20.8,18060326718
364,28125858451,196,14,2025-07-11 23:03:55,2025-07-21 23:03:55,B27.1,B27.1,24100569128
365,07025648436,155,11,2025-07-13 04:01:08,2025-07-19 04:01:08,Y48.1,Y48.1,14024366361
366,18040500492,53,3,2025-07-13 17:08:15,2025-07-25 17:08:15,L40.3,L40.3,27099728378
367,24064249347,61,5,2025-07-14 07:01:34,2025-07-26 07:01:34,F53.1,F53.1,02030634060
368,11050658021,185,13,2025-07-19 12:33:01,2025-07-23 12:33:01,G51.1,G51.1,16100868799
369,03087449368,222,15,2025-07-21 09:36:12,2025-08-02 09:36:12,Z93.3,B96.7,17078627586
370,23126536791,147,9,2025-07-23 21:48:32,2025-07-28 21:48:32,G30.8,J44.0,26099895344
371,29048725629,59,5,2025-07-26 03:54:03,2025-08-01 03:54:03,E05.8,Y54.4,18050675294
372,18076242086,59,5,2025-07-26 11:01:20,2025-08-02 11:01:20,A67.3,A67.3,27099728378
373,26026036012,41,2,2025-07-26 22:25:55,,J70.1,,01024610365
374,12045364041,197,14,2025-07-28 10:56:40,2025-08-02 10:56:40,G47.2,G47.2,04025648413
375,24116938524,35,2,2025-08-02 09:13:09,2025-08-07 09:13:09,I72.8,I72.8,24100569128
376,20057771483,116,7,2025-08-03 16:55:13,2025-08-10 16:55:13,S00.9,S00.9,18060326718
377,04044756842,96,6,2025-08-08 10:57:24,2025-08-13 10:57:24,G08,G08,26099895344
378,19067311901,33,2,2025-08-08 23:31:36,2025-08-15 23:31:36,C88.9,C88.9,19029051436
379,02060181890,45,2,2025-08-10 18:02:59,2025-08-12 18:02:59,J39.1,J39.1,01024610365
380,03065174291,121,8,2025-08-13 09:08:58,2025-08-18 09:08:58,I66,I66,04010443316
381,03080887989,111,7,2025-08-14 20:06:01,2025-08-25 20:06:01,D15.1,D15.1,28026692058
382,27114223727,111,7,2025-08-15 21:00:48,2025-08-24 21:00:48,L20.0,L20.0,02087077516
383,29048725629,195,13,2025-08-17 17:22:43,2025-08-23 17:22:43,E76.9,E76.9,16068107499
384,29058365375,120,7,2025-08-20 05:13:16,2025-08-23 05:13:16,S92.2,S92.2,28120467810
385,13036533562,203,14,2025-08-20 15:03:45,2025-08-22 15:03:45,D01.5,D01.5,08088799158
386,08039389744,102,7,2025-08-31 06:31:44,2025-09-03 06:31:44,I63,I63,17078627586
387,14116282450,146,9,2025-09-07 09:13:48,2025-09-15 09:13:48,H74.0,H74.0,16040493179
388,09074937223,218,15,2025-09-09 23:58:36,2025-09-21 23:58:36,A24,A24,28120467810
389,14116282450,56,5,2025-09-19 10:18:37,2025-09-22 10:18:37,B20.6,B20.6,11100467158
390,23126536791,126,8,2025-09-22 10:55:00,2025-09-25 10:55:00,A80,A80,19110834569
391,27088459709,79,5,2025-09-24 00:33:21,2025-10-04 00:33:21,Z94.7,Z94.7,08088799158
392,08039585346,84,5,2025-09-26 02:28:42,2025-10-08 02:28:42,I66.4,I66.4,09066167650
393,18068612601,138,9,2025-09-29 13:08:12,2025-10-08 13:08:12,K31.4,K31.4,27099728378
394,12045364041,4,1,2025-09-29 16:22:29,2025-10-11 16:22:29,A23.3,E85,04010443316
395,24116938524,171,12,2025-10-13 15:57:53,,A85.8,,21017437016
396,18095314451,75,5,2025-10-13 19:34:05,2025-10-21 19:34:05,Y42.7,Y42.7,11100467158
397,13036533562,218,15,2025-10-15 16:28:11,2025-10-18 16:28:11,V29.0,V29.0,19089017616
398,10127699608,188,13,2025-10-15 17:10:11,2025-10-23 17:10:11,N89.5,S29.7,26067425558
399,24064249347,31,2,2025-10-20 14:11:42,2025-10-24 14:11:42,S83.1,S83.1,14024366361
400,22035062029,158,11,2025-10-26 08:28:30,2025-11-06 08:28:30,R68.8,R68.8,07109876453
401,23035977126,144,9,2025-10-31 17:51:38,2025-11-08 17:51:38,A23.8,A23.8,03057873936
402,10049749838,181,13,2025-11-01 18:24:31,2025-11-11 18:24:31,F50.4,F50.4,07044341149
403,07025648436,154,11,2025-11-03 04:11:30,2025-11-14 04:11:30,O32.3,O32.3,02087077516
404,30069682579,59,5,2025-11-03 22:10:46,2025-11-08 22:10:46,C53.8,C53.8,19075521849
405,28026488250,100,6,2025-11-06 20:32:14,2025-11-13 20:32:14,H44.8,H44.8,28120467810
406,23028814627,171,12,2025-11-08 17:50:09,2025-11-14 17:50:09,G71.8,G71.8,22048608378
407,20049280002,183,13,2025-11-14 10:19:53,2025-11-16 10:19:53,T92.3,T92.3,18060326718
408,20049280002,9,1,2025-11-20 18:02:49,2025-11-29 18:02:49,F32.9,Z63.7,19089017616
409,23035977126,135,8,2025-11-23 23:21:26,2025-12-05 23:21:26,I20,I20,05068650481
410,14038546502,50,3,2025-11-25 16:29:55,2025-11-28 16:29:55,N49.8,N49.8,16118595442
411,22056004139,151,10,2025-11-30 18:54:59,2025-12-07 18:54:59,M20.6,M20.6,19029051436
412,24026275714,6,1,2025-12-05 16:09:43,2025-12-16 16:09:43,Z97.8,Z97.8,05038348846
413,09087148284,171,12,2025-12-09 21:56:51,2025-12-17 21:56:51,E22.0,E22.0,23056691943
414,08069088885,66,5,2025-12-10 18:50:45,2025-12-21 18:50:45,G03,H21.0,23056691943
415,16099945058,1,1,2025-12-14 20:32:01,2025-12-23 20:32:01,T92,R45.5,07044341149
416,19125793215,194,13,2025-12-16 09:21:54,2025-12-23 09:21:54,A64,A64,06019165174
417,10127699608,45,2,2025-12-21 04:31:37,2025-12-29 04:31:37,Y52.2,Y52.2,02078042045
418,04037844317,191,13,2025-12-26 03:22:24,2025-12-28 03:22:24,T21.2,T21.2,09050064807
419,02045315571,80,5,2025-12-26 12:14:44,2026-01-04 12:14:44,H26.0,H26.0,05068650481
420,09025524525,25,1,2025-12-30 03:18:31,2026-01-07 03:18:31,S21,S21,22115865680
421,24100534776,20,1,2025-12-30 13:04:46,2026-01-07 13:04:46,M70.9,M70.9,23026866049
422,27060840942,8,1,2026-01-08 06:50:03,2026-01-16 06:50:03,T28.8,T28.8,11087946135
423,14024432211,72,5,2026-01-18 20:53:13,,R30.0,,02087077516
424,01078093778,191,13,2026-01-18 21:21:04,2026-01-21 21:21:04,A03.1,P28.4,21119438801
425,24064249347,101,7,2026-01-20 19:22:06,2026-01-28 19:22:06,C18.1,C18.1,06117882147
426,14055158747,204,14,2026-01-21 12:43:11,2026-01-23 12:43:11,Q93.7,Q93.7,18060326718
427,05110633308,78,5,2026-01-22 16:16:11,2026-02-03 16:16:11,M87.3,M87.3,16100868799
428,30088959779,147,9,2026-01-30 18:26:10,2026-02-07 18:26:10,I28.0,I28.0,08088799158
429,21096212974,139,9,2026-02-03 00:52:48,2026-02-06 00:52:48,Z27.4,Z27.4,15049291643
430,27060840942,199,14,2026-02-05 06:59:20,2026-02-15 06:59:20,S28.1,S28.1,15089851983
431,13070372071,143,9,2026-02-05 09:15:44,2026-02-09 09:15:44,Z93,Z93,03049296161
432,24026275714,127,8,2026-02-11 10:16:05,2026-02-16 10:16:05,C57.3,C57.3,18114432106
433,27087797722,136,9,2026-02-12 01:38:16,2026-02-24 01:38:16,E78,E78,07100156298
434,24076008916,74,5,2026-02-16 11:05:40,2026-02-25 11:05:40,M51.9,M51.9,07034474162
435,03080887989,2,1,2026-02-16 22:34:44,2026-02-20 22:34:44,D80.9,D80.9,28120467810
436,12016289283,164,12,2026-02-23 23:52:43,2026-03-03 23:52:43,B74.0,B74.0,11100467158
437,04044756842,27,2,2026-02-25 15:22:06,2026-03-04 15:22:06,L23.6,L23.6,16068589382
438,18026581848,82,5,2026-03-08 20:57:35,2026-03-20 20:57:35,J01.1,J01.1,08119651767
439,26026036012,31,2,2026-03-09 04:21:18,2026-03-13 04:21:18,G04.1,E29.9,18050675294
440,16080609722,201,14,2026-03-09 10:03:49,,M50.1,,02078042045
441,11018863136,213,15,2026-03-11 07:31:00,2026-03-14 07:31:00,R48.0,R48.0,28026692058
442,21096212974,190,13,2026-03-11 10:15:00,2026-03-13 10:15:00,V85.7,V85.7,22115865680
443,05098106243,158,11,2026-03-16 06:49:35,2026-03-23 06:49:35,T80.2,T80.2,15088743388
444,26105808540,25,1,2026-03-23 22:43:46,2026-03-30 22:43:46,T40.9,T40.9,20039794570
445,28026488250,182,13,2026-03-27 14:54:29,2026-04-08 14:54:29,Z51.1,Z51.1,18050675294
446,22070852133,149,10,2026-03-31 01:57:04,2026-04-04 01:57:04,D35.6,Q11.0,02078042045
447,05076151023,27,2,2026-03-31 20:46:10,2026-04-06 20:46:10,R04.0,R04.0,22115865680
448,16099945058,77,5,2026-04-01 07:46:11,2026-04-10 07:46:11,W27,W27,02087077516
449,25124524763,60,5,2026-04-01 13:20:43,2026-04-04 13:20:43,S55.8,S02.2,16100868799
450,21080066006,199,14,2026-04-09 16:28:01,2026-04-16 16:28:01,C51.8,C51.8,23028627654
451,26118866522,58,5,2026-04-11 04:05:32,2026-04-20 04:05:32,P51.0,H04.9,13060666813
452,29089535168,88,6,2026-04-11 05:31:15,2026-04-23 05:31:15,Y46.7,Y46.7,22040585135
453,10117245649,163,12,2026-04-16 03:05:11,2026-04-23 03:05:11,T40.9,T40.9,16100868799
454,04044756842,67,5,2026-04-22 02:28:23,2026-04-29 02:28:23,F93.8,F93.8,08088799158
455,13076696064,128,8,2026-04-23 00:03:12,2026-04-26 00:03:12,W13,W13,10089737527
456,28127165521,221,15,2026-04-24 10:11:02,2026-04-27 10:11:02,G60.1,G60.1,04010443316
457,25109186486,170,12,2026-04-26 07:07:25,2026-04-30 07:07:25,A23.1,A23.1,24024429583
458,09087148284,8,1,2026-04-29 18:17:23,2026-05-01 18:17:23,H91,H91,04010443316
459,12045364041,155,11,2024-07-12 03:34:33,2024-07-14 03:34:33,S00.3,S00.3,06050738238
460,26050897250,144,9,2024-09-01 19:27:44,2024-09-12 19:27:44,I72.8,I72.8,01024610365
461,02080605060,112,7,2024-04-21 00:08:41,2024-04-28 00:08:41,M81.2,P12.1,27099728378
462,23106760849,200,14,2025-02-08 08:35:41,2025-02-15 08:35:41,B55,B55,15089851983
463,08046122018,72,5,2025-05-19 12:19:14,2025-05-26 12:19:14,H91.1,G51.2,16068107499
464,23035977126,99,6,2024-10-07 02:37:55,2024-10-14 02:37:55,D25,D25,14024366361
465,14038546502,120,7,2025-02-27 20:19:00,2025-03-10 20:19:00,D01.2,D01.2,21110456039
466,21096212974,46,3,2026-02-03 00:52:48,2026-02-07 00:52:48,C18.7,C18.7,16118595442
467,13070372071,83,5,2024-04-23 11:01:52,2024-04-27 11:01:52,N80.3,N80.3,11087946135
468,19025178439,30,2,2024-11-07 08:41:06,2024-11-11 08:41:06,G23.9,G23.9,22018235970
469,28125858451,79,5,2025-05-29 23:18:38,2025-06-01 23:18:38,M03.0*,M03.0*,22048608378
470,08058909862,207,14,2023-02-18 10:44:20,2023-02-27 10:44:20,R73.0,R73.0,18118519593
471,08118005072,99,6,2023-05-02 12:32:42,2023-05-11 12:32:42,L55.2,L55.2,09050064807
472,29048725629,59,5,2024-07-20 07:13:47,2024-07-25 07:13:47,Y31,Y31,09045928947
473,29048725629,58,5,2025-07-26 03:54:03,2025-08-05 03:54:03,M49.1*,M49.1*,17019537542
474,27114223727,86,6,2023-12-24 07:54:38,2024-01-05 07:54:38,H26.9,H26.9,09066167650
475,19080401685,92,6,2024-01-26 22:25:53,2024-02-07 22:25:53,T55,T55,18050675294
476,06060868993,151,10,2025-03-05 01:25:34,2025-03-16 01:25:34,X06,X06,07034474162
477,10117245649,121,8,2026-04-16 03:05:11,2026-04-20 03:05:11,E85.9,E85.9,22040585135
478,08058909862,46,3,2023-02-18 10:44:20,2023-02-26 10:44:20,H42.8*,H42.8*,16100868799
479,31057446403,166,12,2024-01-20 23:26:27,2024-01-29 23:26:27,D01.5,D01.5,18114432106
480,19080401685,206,14,2024-01-26 22:25:53,2024-02-03 22:25:53,K38,K38,24024429583
481,22047993944,214,15,2023-06-03 14:06:41,2023-06-14 14:06:41,H30.9,H30.9,24088546021
482,20049280002,219,15,2025-11-20 18:02:49,2025-11-26 18:02:49,L92,E27.3,22040585135
483,13076696064,196,14,2023-12-08 15:40:22,2023-12-11 15:40:22,G04.2,G04.2,21110456039
484,26105808540,218,15,2024-02-15 10:31:24,2024-02-23 10:31:24,B23.0,B23.0,13119759342
485,16080609722,122,8,2026-03-09 10:03:49,2026-03-14 10:03:49,O62.0,O62.0,08088799158
486,08118005072,25,1,2024-09-05 09:51:27,2024-09-08 09:51:27,Q60.5,Q60.5,01090729354
487,21047422567,218,15,2023-10-07 16:58:14,2023-10-16 16:58:14,T00.1,T00.1,07034474162
488,14116282450,194,13,2024-08-10 02:06:14,2024-08-16 02:06:14,Q10.2,D22.5,16118595442
489,18066087869,55,3,2024-10-05 12:21:18,2024-10-08 12:21:18,T84.3,T84.3,15088743388
490,25109186486,214,15,2025-04-11 13:02:27,2025-04-16 13:02:27,I51.7,I51.7,16118595442
491,31057446403,147,9,2023-12-30 01:31:34,2024-01-11 01:31:34,C79.8,C79.8,18050675294
492,16099945058,66,5,2025-03-03 05:11:18,2025-03-05 05:11:18,K42.0,V19.4,19110834569
493,26118866522,122,8,2026-04-11 04:05:32,,B52,,03057873936
494,12059650695,168,12,2025-04-04 18:25:41,2025-04-08 18:25:41,W11,W11,23026866049
495,27087797722,141,9,2025-06-27 22:47:48,2025-07-03 22:47:48,T14.7,T14.7,02030634060
496,23035977126,151,10,2024-12-19 02:30:42,2024-12-22 02:30:42,Z70.2,Z70.2,06126222477
497,02080605060,95,6,2024-04-21 00:08:41,2024-04-23 00:08:41,P04.3,R57.8,18118519593
498,19125793215,103,7,2025-12-16 09:21:54,2025-12-18 09:21:54,M86.4,M86.4,17075032006
499,24116938524,75,5,2025-10-13 15:57:53,2025-10-20 15:57:53,S37.1,K70.3,26099895344
500,23106760849,204,14,2023-05-31 13:32:24,2023-06-03 13:32:24,D30.2,D30.2,03049296161
