kwdikos_exetashs,hmeromhnia,typos_exetashs,kostos,apotelesma,AMKA,ID_nosileias
EX-00203,2023-10-09 06:53:02,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,16040493179,99
EX-00204,2023-10-06 19:53:02,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,16040493179,99
EX-00205,2023-10-10 19:53:02,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,16040493179,99
EX-00206,2023-10-08 14:58:14,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,08088799158,100
EX-00207,2023-10-09 00:58:14,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,08088799158,100
EX-00208,2023-10-12 10:13:19,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,18060326718,101
EX-00209,2023-10-13 14:13:19,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,18060326718,101
EX-00210,2023-10-12 05:22:41,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,06117882147,102
EX-00211,2023-10-12 00:22:41,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,06117882147,102
EX-00212,2023-10-11 12:22:41,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,06117882147,102
EX-00213,2023-10-12 14:25:33,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,21119438801,103
EX-00214,2023-10-12 16:25:33,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,21119438801,103
EX-00215,2023-10-17 04:32:49,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,16068107499,104
EX-00216,2023-10-19 02:32:49,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,16068107499,104
EX-00217,2023-10-20 06:32:49,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,16068107499,104
EX-00218,2023-10-26 23:50:35,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,02078042045,105
EX-00219,2023-10-20 18:12:41,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,22120477375,106
EX-00220,2023-10-18 14:12:41,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,574.09,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,22120477375,106
EX-00221,2023-10-22 21:12:41,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,22120477375,106
EX-00222,2023-10-26 05:43:19,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,01090729354,107
EX-00223,2023-10-27 00:43:19,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,01090729354,107
EX-00224,2023-10-23 23:43:19,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,01090729354,107
EX-00225,2023-10-22 21:15:18,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Ολοκληρώθηκε χωρίς επιπλοκές.,20039794570,108
EX-00226,2023-10-27 10:15:18,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,20039794570,108
EX-00227,2023-10-25 11:22:48,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,05038348846,109
EX-00228,2023-10-27 13:22:48,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Ολοκληρώθηκε χωρίς επιπλοκές.,05038348846,109
EX-00229,2023-10-30 04:37:11,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,29049732701,110
EX-00230,2023-10-29 16:37:11,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Ολοκληρώθηκε χωρίς επιπλοκές.,29049732701,110
EX-00231,2023-10-28 20:12:50,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Ολοκληρώθηκε χωρίς επιπλοκές.,26067425558,111
EX-00232,2023-10-29 02:12:50,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,26067425558,111
EX-00233,2023-10-29 15:12:50,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,26067425558,111
EX-00234,2023-10-30 04:57:17,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,03049296161,112
EX-00235,2023-11-08 20:02:25,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,02078042045,113
EX-00236,2023-11-09 20:02:25,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Ολοκληρώθηκε χωρίς επιπλοκές.,02078042045,113
EX-00237,2023-11-10 09:10:30,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,10089737527,114
EX-00238,2023-11-10 21:02:24,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,06050738238,115
EX-00239,2023-11-11 02:02:24,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,06050738238,115
EX-00240,2023-11-16 12:50:42,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,17019537542,116
EX-00241,2023-11-21 19:04:32,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,21017437016,117
EX-00242,2023-11-21 07:04:32,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,21017437016,117
EX-00243,2023-11-19 08:04:32,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,21017437016,117
EX-00244,2023-11-20 07:28:26,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,24088546021,118
EX-00245,2023-11-26 04:20:12,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,14129831939,119
EX-00246,2023-11-27 17:20:12,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,574.09,Ολοκληρώθηκε χωρίς επιπλοκές.,14129831939,119
EX-00247,2023-11-29 12:20:12,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,574.09,Ολοκληρώθηκε χωρίς επιπλοκές.,14129831939,119
EX-00248,2023-11-29 07:34:18,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,27099728378,120
EX-00249,2023-11-24 12:34:18,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Ολοκληρώθηκε χωρίς επιπλοκές.,27099728378,120
EX-00250,2023-12-03 06:56:57,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,18118519593,121
EX-00251,2023-11-30 01:17:55,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,16040493179,122
EX-00252,2023-12-05 21:17:55,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,16040493179,122
EX-00253,2023-12-04 05:59:54,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,09045928947,123
EX-00254,2023-12-06 00:59:54,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ,574.09,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,09045928947,123
EX-00255,2023-12-06 00:59:54,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,09045928947,123
EX-00256,2023-12-07 07:22:40,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,18118519593,124
